Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Colombia,South America,2001,40255956,55.45,26
Mexico,North America,2001,100298153,365.22,155
Venezuela,South America,2001,24646472,124.08,53
China,Asia,2001,1271850000,3280.07,1168
India,Asia,2001,1075000085,923.06,448
Indonesia,Asia,2001,214427417,290.65,159
Japan,Asia,2001,127149000,1110.9,511
Malaysia,Asia,2001,23709119,123.59,51
South Korea,Asia,2001,23132980,464.09,193
Taiwan,Asia,2001,22108713,227.68,89
Thailand,Asia,2001,63539196,163.71,74
Australia,Oceania,2001,19413000,342.1,106
New Zealand,Oceania,2001,3880500,32.01,17
Algeria,Africa,2001,31451514,65.73,27
Egypt,Africa,2001,70152661,111.68,46
Nigeria,Africa,2001,125394046,49.66,91
South Africa,Africa,2001,45571272,330.7,105
Iran,Asia,2001,66449112,335.4,133
Kuwait,Asia,2001,2103282,51.05,20
Saudi Arabia,Asia,2001,21202642,248.15,100
United Arab Emirates,Asia,2001,3302719,93.02,40
Belgium,Europe,2002,10332785,111.4,56
Czech Republic,Europe,2002,10196916,117.76,43
France,Europe,2002,61805267,383.17,261
Germany,Europe,2002,82488495,836.85,339
Italy,Europe,2002,57059007,437.79,174
Netherlands,Europe,2002,16148929,186.29,78
Poland,Europe,2002,38230364,288.85,89
Portugal,Europe,2002,10419631,63.2,26
Romania,Europe,2002,21730496,93.3,38
Spain,Europe,2002,41431558,303.93,129
Sweden,Europe,2002,8924958,53.31,52
United Kingdom,Europe,2002,59370479,529,221
Norway,Europe,2002,4538159,34.02,25
Turkey,Asia,2002,65145367,193.67,74
Kazakhstan,Asia,2002,14858948,125.82,40
Russia,Asia,2002,145306497,1510.98,623
Ukraine,Europe,2002,48202470,301.46,136
Uzbekistan,Asia,2002,25271850,122.04,53
Canada,North America,2002,31360079,530.09,251
United States,North America,2002,287625193,5650.95,2256
Argentina,South America,2002,37681749,122.92,57
Brazil,South America,2002,179537520,302.82,196
Chile,South America,2002,15684409,51.41,26
Colombia,South America,2002,40875363,53.34,25
Mexico,North America,2002,101684758,371.1,157
Venezuela,South America,2002,25100408,123.4,57
China,Asia,2002,1280400000,3539.05,1246
India,Asia,2002,1093317189,953.46,462
Indonesia,Asia,2002,217357793,296.89,165
Japan,Asia,2002,127445000,1152.78,513
Malaysia,Asia,2002,24208391,129.84,52
South Korea,Asia,2002,23339453,461.84,201
Taiwan,Asia,2002,22262299,236.75,93
Thailand,Asia,2002,64069087,175.31,82
Australia,Oceania,2002,19651400,354.09,109
New Zealand,Oceania,2002,3948500,32.09,17
Algeria,Africa,2002,31855109,71.67,29
Egypt,Africa,2002,71485043,117.15,47
Nigeria,Africa,2002,128596076,51.36,94
South Africa,Africa,2002,46150913,341.84,99
Iran,Asia,2002,67284796,350.67,138
Kuwait,Asia,2002,2136997,53.1,21
Saudi Arabia,Asia,2002,21805313,265.65,111
United Arab Emirates,Asia,2002,3478777,95.03,40
Belgium,Europe,2003,10376133,115.18,58
Czech Republic,Europe,2003,10193998,121.81,45
France,Europe,2003,62244886,388.38,268
Germany,Europe,2003,82534176,835.37,337
Italy,Europe,2003,57313203,452.96,182
Netherlands,Europe,2003,16225302,189.43,80
Poland,Europe,2003,38204570,301.16,91
Portugal,Europe,2003,10458821,58.73,25
Romania,Europe,2003,21574326,95.89,40
Spain,Europe,2003,42187645,310.29,133
Sweden,Europe,2003,8958229,54.64,51
United Kingdom,Europe,2003,59647577,543.41,224
Norway,Europe,2003,4564855,36.83,27
Turkey,Asia,2003,66089402,205.1,79
Kazakhstan,Asia,2003,14909019,145.07,43
Russia,Asia,2003,144648618,1551.5,645
Ukraine,Europe,2003,47812949,312.65,141
Uzbekistan,Asia,2003,25567650,116.59,51
Canada,North America,2003,31644028,551.46,264
United States,North America,2003,290107933,5708.69,2262
Argentina,South America,2003,38087868,132.62,61
Brazil,South America,2003,181809246,297.88,199
Chile,South America,2003,15849652,52.75,26
Colombia,South America,2003,41483872,52.65,26
Mexico,North America,2003,103081020,389.68,168
Venezuela,South America,2003,25551624,123.19,53
China,Asia,2003,1288400000,4115.15,1420
India,Asia,2003,1111523144,980.32,474
